,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Samambaia,6501.666666666667,9672.666666666666,1810.3333333333333,1829.6666666666667,2517.6666666666665,4482.333333333333,3841.6666666666665,10763.666666666666,8282.666666666666,8683.666666666666,2158.6666666666665,1722.0,5649.666666666667,5080.0,4073.0,5380.333333333333,2118.3333333333335,9388.0,2221.6666666666665,2021.6666666666667,4728.666666666667,3833.0,3564.3333333333335,2050.3333333333335,5988.666666666667,3463.0,1715.0,7073.333333333333,5474.333333333333,1776.6666666666667,9200.666666666666,5568.0,8002.666666666667,3974.3333333333335,1452.0,1592.0,1154.6666666666667,1260.0,3348.3333333333335,2884.0,4751.333333333333,2665.0,2300.3333333333335,5762.333333333333,3860.0,2182.6666666666665,2471.3333333333335,2259.6666666666665,12711.333333333334,2754.0,3897.6666666666665,2198.6666666666665,10924.0
Santa Maria,8121.0,10463.0,2802.3333333333335,2968.3333333333335,4993.0,6178.0,4499.666666666667,14043.0,7462.0,7763.0,1800.0,3637.6666666666665,3477.3333333333335,6999.0,7870.333333333333,7627.333333333333,2388.3333333333335,10190.333333333334,1868.3333333333333,2873.0,3219.0,2760.3333333333335,2785.0,2804.6666666666665,4475.333333333333,3012.6666666666665,2030.6666666666667,7827.333333333333,3995.3333333333335,1798.6666666666667,9848.333333333334,4302.666666666667,8884.333333333334,4430.666666666667,2406.3333333333335,2456.0,1331.3333333333333,3488.3333333333335,1433.3333333333333,6058.666666666667,2463.3333333333335,3685.3333333333335,2869.6666666666665,3990.6666666666665,3364.0,3430.3333333333335,2482.6666666666665,3184.0,9188.0,1329.6666666666667,3232.3333333333335,3180.0,11346.0
Sao Sebastiao,9171.0,9812.0,3284.3333333333335,3602.6666666666665,6047.666666666667,6658.0,5820.666666666667,10433.666666666666,6054.333333333333,10126.666666666666,2674.3333333333335,5017.333333333333,3654.0,8922.333333333334,7282.333333333333,7026.333333333333,3278.0,8235.333333333334,4264.333333333333,3100.3333333333335,2822.3333333333335,3213.3333333333335,3464.0,3077.0,7041.666666666667,4714.666666666667,3315.6666666666665,10701.333333333334,2815.0,2445.6666666666665,11816.0,3781.6666666666665,7416.666666666667,5830.333333333333,4814.0,3448.0,3014.3333333333335,4113.0,2275.6666666666665,6335.666666666667,2016.6666666666667,4147.0,3892.6666666666665,4646.0,3697.0,4722.0,3715.0,3960.6666666666665,6336.333333333333,3216.0,2427.6666666666665,4579.0,10067.0
SCIA/Estrutural,7433.666666666667,7546.333333333333,1258.0,1105.3333333333333,2650.3333333333335,5859.0,2269.0,9862.0,8541.0,7368.333333333333,1513.0,2035.0,4691.666666666667,4322.333333333333,6342.666666666667,7435.0,811.0,7027.0,3339.3333333333335,816.3333333333334,3228.0,2814.6666666666665,1673.3333333333333,1946.0,6306.333333333333,3944.6666666666665,1364.3333333333333,7496.333333333333,3944.3333333333335,1805.3333333333333,9209.0,4409.333333333333,6120.333333333333,3035.6666666666665,2497.0,2091.6666666666665,2111.6666666666665,2313.0,2337.0,3701.3333333333335,3870.6666666666665,511.3333333333333,496.6666666666667,2756.3333333333335,1987.0,1635.3333333333333,844.3333333333334,1194.0,10423.666666666666,2871.0,1910.0,1089.6666666666667,10219.333333333334
SIA,7299.333333333333,7964.666666666667,1272.6666666666667,906.0,2724.0,5529.0,2933.3333333333335,9710.333333333334,7665.333333333333,7854.333333333333,586.0,1770.3333333333333,3716.3333333333335,5074.666666666667,5980.333333333333,7058.333333333333,570.3333333333334,7241.666666666667,2398.3333333333335,738.6666666666666,2856.0,2616.3333333333335,1711.0,1759.3333333333333,5647.0,3323.0,1189.3333333333333,5656.0,3418.6666666666665,1544.3333333333333,9548.0,3194.6666666666665,8736.333333333334,1172.3333333333333,2380.3333333333335,2030.0,1691.0,2659.0,2232.5,4645.666666666667,4070.6666666666665,714.6666666666666,472.3333333333333,3253.6666666666665,2197.6666666666665,2106.3333333333335,750.3333333333334,1178.0,7827.666666666667,2753.3333333333335,1423.6666666666667,851.6666666666666,8580.666666666666
Sobradinho,10543.5,8018.0,3338.3333333333335,3468.0,5069.333333333333,8375.333333333334,3672.3333333333335,11656.0,9371.666666666666,7562.333333333333,3234.6666666666665,3434.6666666666665,6770.0,7208.333333333333,9003.0,9858.0,2415.3333333333335,6873.666666666667,5554.333333333333,2638.0,3853.6666666666665,3319.0,2321.3333333333335,3947.3333333333335,9624.666666666666,6414.333333333333,3012.0,7871.333333333333,4307.0,3141.3333333333335,10648.333333333334,3507.0,4861.666666666667,3173.3333333333335,4375.666666666667,4384.333333333333,4535.333333333333,3711.0,4411.333333333333,7375.0,5556.0,2958.3333333333335,1971.6666666666667,2883.3333333333335,2051.6666666666665,4065.3333333333335,2789.3333333333335,4103.333333333333,9923.666666666666,4919.0,2937.3333333333335,3015.3333333333335,11580.0
Sobradinho II,8153.666666666667,6158.0,3006.3333333333335,2803.6666666666665,4051.6666666666665,6970.0,3187.0,10222.0,8881.666666666666,6792.333333333333,2161.6666666666665,3437.3333333333335,5193.0,7344.333333333333,7489.666666666667,10141.333333333334,1733.6666666666667,6239.666666666667,4671.333333333333,1767.3333333333333,2200.3333333333335,3235.6666666666665,1990.3333333333333,3107.0,6220.333333333333,4920.0,2318.6666666666665,6843.5,3187.3333333333335,2403.0,10763.666666666666,3013.6666666666665,5993.666666666667,3039.0,3367.3333333333335,2740.0,2888.6666666666665,3134.0,3635.0,5621.666666666667,4186.333333333333,1683.6666666666667,2042.0,1398.0,926.6666666666666,3511.3333333333335,1974.0,2693.3333333333335,10524.333333333334,3596.0,1665.3333333333333,2215.3333333333335,9291.333333333334
Sol Nascente/Por do Sol,6474.666666666667,10414.0,2075.3333333333335,1235.6666666666667,2348.6666666666665,3986.6666666666665,3523.6666666666665,13225.0,8804.0,8632.333333333334,2087.3333333333335,1729.3333333333333,4558.0,5261.0,5707.333333333333,10192.666666666666,2087.3333333333335,8728.0,2582.3333333333335,1809.6666666666667,3831.6666666666665,4288.333333333333,3187.0,3306.6666666666665,7918.0,4437.333333333333,2093.0,6218.0,6324.0,2460.0,7553.333333333333,5314.666666666667,10013.0,3086.3333333333335,2449.0,2112.6666666666665,1564.3333333333333,1536.0,3085.0,4330.666666666667,4495.0,2071.0,1667.6666666666667,3864.6666666666665,4233.0,708.3333333333334,1885.6666666666667,1061.6666666666667,12163.0,2988.3333333333335,2821.0,1466.3333333333333,11171.666666666666
Sudoeste/Octogonal,6987.0,7042.666666666667,1295.6666666666667,1370.3333333333333,3111.3333333333335,6095.333333333333,3274.0,11619.666666666666,6920.0,6906.0,989.6666666666666,2992.3333333333335,4324.333333333333,6007.0,6364.666666666667,7747.666666666667,417.3333333333333,8450.666666666666,2728.0,812.3333333333334,2327.6666666666665,2396.0,1699.6666666666667,2450.6666666666665,5783.666666666667,3224.3333333333335,1266.3333333333333,6901.0,4310.333333333333,1158.0,9663.0,3359.3333333333335,5372.0,1752.0,2260.0,1951.6666666666667,1848.3333333333333,2197.0,2160.6666666666665,5034.666666666667,2595.6666666666665,1237.6666666666667,710.3333333333334,2859.3333333333335,2246.3333333333335,2000.0,346.0,1817.0,10873.666666666666,2577.0,1348.6666666666667,1174.6666666666667,8792.333333333334
Taguatinga,6403.666666666667,8737.333333333334,1844.3333333333333,1680.0,2744.3333333333335,4901.333333333333,3046.6666666666665,11199.666666666666,8899.666666666666,9337.333333333334,2071.0,2077.3333333333335,4686.666666666667,5811.0,7015.666666666667,10124.0,1087.0,9328.666666666666,2964.3333333333335,1473.3333333333333,3281.0,3535.3333333333335,2856.6666666666665,2613.3333333333335,5795.333333333333,3802.6666666666665,2161.6666666666665,7422.666666666667,5908.333333333333,2206.0,8074.666666666667,4654.333333333333,7497.666666666667,2281.6666666666665,2081.0,2414.6666666666665,1895.3333333333333,2515.0,2258.6666666666665,5919.666666666667,4051.6666666666665,1259.6666666666667,1219.6666666666667,3656.6666666666665,2923.3333333333335,1560.3333333333333,1602.6666666666667,1043.0,11588.666666666666,3710.3333333333335,2192.6666666666665,1211.6666666666667,9676.666666666666
Varjao,7499.666666666667,7279.333333333333,2264.3333333333335,2219.6666666666665,3674.6666666666665,5792.333333333333,3556.6666666666665,11178.0,6928.333333333333,7548.666666666667,1748.0,3108.0,4354.333333333333,6983.333333333333,6917.666666666667,7234.0,1210.0,10134.0,3875.3333333333335,1724.0,1750.6666666666667,2258.0,1021.0,2745.3333333333335,5761.333333333333,4353.0,1966.0,7092.0,3102.0,2224.6666666666665,10107.0,2619.0,8777.333333333334,1355.6666666666667,3140.3333333333335,2186.0,2536.0,2846.0,3460.6666666666665,6111.333333333333,3364.6666666666665,1945.0,1707.0,2595.6666666666665,1575.0,2891.6666666666665,1386.3333333333333,1848.3333333333333,10138.0,3120.0,160.66666666666666,2104.3333333333335,10160.333333333334
Vicente Pires,6774.0,8502.0,1174.0,725.6666666666666,3036.3333333333335,5090.333333333333,1938.6666666666667,11165.333333333334,8363.666666666666,7871.333333333333,1387.0,1968.0,3828.6666666666665,6254.0,5465.666666666667,6894.333333333333,1118.3333333333333,9446.333333333334,2689.3333333333335,915.0,2819.0,3339.3333333333335,1790.0,3843.3333333333335,9545.666666666666,4075.3333333333335,1309.0,4760.0,4599.333333333333,1987.3333333333333,8652.0,3568.6666666666665,7111.333333333333,2844.3333333333335,2034.3333333333333,1933.3333333333333,1984.3333333333333,1872.6666666666667,2987.0,4419.0,3971.6666666666665,917.0,890.0,3274.3333333333335,2347.3333333333335,1780.6666666666667,1063.3333333333333,971.3333333333334,12067.666666666666,3098.3333333333335,1854.0,864.3333333333334,11021.0
