,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Samambaia,78572.66666666667,116589.0,13164.0,8923.666666666666,21542.0,51163.666666666664,31696.333333333332,159672.0,115054.66666666667,113858.0,23229.333333333332,19487.333333333332,43957.0,82353.0,57199.666666666664,111619.66666666667,27001.666666666668,94112.66666666667,15408.0,15384.333333333334,46925.333333333336,37497.333333333336,32356.0,28017.333333333332,68007.33333333333,32156.0,22094.333333333332,92003.33333333333,71478.0,18464.0,105002.33333333333,58994.333333333336,92270.33333333333,38086.0,11753.666666666666,9582.0,15724.0,13335.666666666666,30680.666666666668,31259.666666666668,40302.666666666664,13826.0,17205.333333333332,44099.333333333336,43797.0,11306.0,21494.333333333332,15214.666666666666,148762.66666666666,24048.333333333332,29860.666666666668,15142.333333333334,148255.33333333334
Santa Maria,93992.33333333333,115483.0,27534.0,24507.666666666668,50496.666666666664,60092.0,52956.666666666664,140463.0,84899.66666666667,100672.0,18832.0,28079.0,25926.666666666668,96780.0,87400.33333333333,98879.33333333333,24955.666666666668,82661.66666666667,29262.666666666668,24158.333333333332,31157.333333333332,19288.333333333332,34440.333333333336,11199.0,44107.666666666664,21523.666666666668,22966.666666666668,102475.33333333333,50750.666666666664,19036.0,123407.33333333333,57978.0,73960.66666666667,45920.0,27274.333333333332,20361.333333333332,10608.333333333334,25113.666666666668,11958.0,44795.0,29280.333333333332,32391.666666666668,27386.0,56425.666666666664,38574.666666666664,26020.0,22490.333333333332,27517.333333333332,101534.66666666667,16393.333333333332,32881.333333333336,27246.666666666668,138050.33333333334
Sao Sebastiao,112888.0,120499.33333333333,38306.0,43323.333333333336,70408.0,72154.33333333333,65512.666666666664,138166.0,58377.0,88874.0,28026.333333333332,62281.333333333336,38569.333333333336,94104.0,98335.0,106250.33333333333,31536.333333333332,99061.0,37205.333333333336,33097.666666666664,26979.333333333332,23992.0,29315.333333333332,22299.333333333332,71882.0,41650.0,34954.0,104703.0,31121.0,29816.0,143604.0,45979.0,82286.66666666667,37721.666666666664,47939.0,35609.333333333336,35381.666666666664,43392.333333333336,22614.0,61982.666666666664,8534.0,38217.666666666664,37001.0,54769.0,45612.666666666664,41570.666666666664,27806.666666666668,48532.666666666664,81689.66666666667,38971.666666666664,36552.333333333336,42365.0,123577.66666666667
SCIA/Estrutural,91830.0,110452.0,9997.0,9192.0,32493.0,71994.0,26635.0,133372.0,95966.0,100867.66666666667,11887.333333333334,19823.0,44484.333333333336,49859.666666666664,75427.0,121124.66666666667,5848.333333333333,111048.33333333333,27759.333333333332,6042.0,29593.333333333332,27086.333333333332,17598.333333333332,19006.666666666668,82047.33333333333,38581.666666666664,11049.666666666666,76568.33333333333,60335.0,17347.333333333332,98383.66666666667,46232.0,63976.333333333336,11432.333333333334,21957.0,15722.0,17493.666666666668,20355.333333333332,30276.666666666668,47953.0,28551.333333333332,1754.0,3744.6666666666665,29208.333333333332,21674.333333333332,15890.666666666666,7752.333333333333,9274.0,129349.66666666667,29953.333333333332,15439.0,8288.333333333334,134867.33333333334
SIA,93553.33333333333,102495.66666666667,7079.666666666667,6264.0,32666.333333333332,61277.333333333336,24504.0,132635.0,85136.33333333333,83943.0,8765.666666666666,24301.0,39055.666666666664,86417.66666666667,65473.333333333336,102248.66666666667,6348.666666666667,89498.66666666667,22941.0,2781.3333333333335,28677.0,24906.333333333332,16476.666666666668,18017.666666666668,76267.33333333333,34558.0,9462.666666666666,71759.33333333333,55845.0,10023.666666666666,105959.66666666667,48446.0,69424.0,17695.333333333332,25967.666666666668,12479.333333333334,14943.333333333334,21896.0,28423.333333333332,51361.0,26153.666666666668,4251.333333333333,2210.0,29206.666666666668,20837.333333333332,15670.666666666666,4214.333333333333,10044.0,128803.66666666667,29878.666666666668,15581.333333333334,6432.0,141274.33333333334
Sobradinho,112684.0,91433.0,34700.0,29930.666666666668,54504.666666666664,82445.33333333333,41740.666666666664,134671.33333333334,83039.33333333333,96259.0,33300.666666666664,46992.0,56888.666666666664,82946.0,103306.0,118626.33333333333,27350.0,82179.0,49402.333333333336,37754.0,33224.666666666664,32060.333333333332,27161.0,35055.0,98309.33333333333,63156.333333333336,33248.0,97494.5,24779.666666666668,39495.0,135775.66666666666,29506.333333333332,66652.0,25189.0,49024.0,40098.333333333336,40269.333333333336,56902.333333333336,44927.666666666664,72188.0,46102.666666666664,26349.666666666668,26409.0,15644.666666666666,15786.666666666666,36803.666666666664,23797.0,33653.666666666664,121508.66666666667,48735.666666666664,25415.0,33622.666666666664,140921.66666666666
Sobradinho II,115654.33333333333,95557.66666666667,33719.666666666664,27591.333333333332,59657.0,75587.66666666667,30078.333333333332,136734.0,93356.33333333333,83667.0,24681.0,39977.666666666664,46998.666666666664,87403.33333333333,98528.66666666667,135310.66666666666,14914.333333333334,74716.0,51698.0,19991.666666666668,16765.666666666668,21923.0,9560.333333333334,33466.333333333336,114640.33333333333,48930.666666666664,24821.333333333332,93074.66666666667,34896.333333333336,35122.333333333336,121376.33333333333,32543.333333333332,46226.333333333336,16863.333333333332,43521.0,33206.666666666664,39803.666666666664,33756.333333333336,39162.666666666664,63660.333333333336,39716.0,24735.333333333332,23036.0,14650.333333333334,6617.666666666667,34119.333333333336,21695.0,30292.666666666668,133085.33333333334,43435.0,14603.666666666666,27456.333333333332,111508.0
Sol Nascente/Por do Sol,74777.33333333333,111229.0,14411.666666666666,11754.0,20775.0,55620.333333333336,21063.333333333332,171245.33333333334,98220.66666666667,100220.0,18537.333333333332,12071.666666666666,42239.333333333336,55099.333333333336,69859.33333333333,103619.0,18092.0,114606.33333333333,24711.0,13609.666666666666,41912.0,38996.333333333336,32493.333333333332,29177.666666666668,59355.333333333336,37070.333333333336,15002.666666666666,85660.66666666667,61580.666666666664,22677.666666666668,100301.33333333333,57568.333333333336,80150.33333333333,22371.0,12924.333333333334,12600.666666666666,11668.0,8888.666666666666,27801.333333333332,29667.333333333332,46240.333333333336,14417.0,15621.333333333334,42130.0,36259.0,2952.6666666666665,18176.666666666668,9512.0,132327.33333333334,31440.0,27885.666666666668,12112.0,156020.0
Sudoeste/Octogonal,86668.33333333333,102729.33333333333,11462.0,10154.0,37869.333333333336,62681.0,32652.0,137123.0,89654.33333333333,88163.33333333333,6653.666666666667,21873.0,35133.0,78033.0,81981.66666666667,103678.33333333333,2911.0,107813.0,29878.0,5864.333333333333,23748.0,23245.666666666668,17429.333333333332,18166.666666666668,69931.33333333333,32742.333333333332,9731.666666666666,79610.66666666667,46441.333333333336,11747.0,104005.33333333333,53314.666666666664,79545.33333333333,11411.333333333334,24194.666666666668,13765.666666666666,17313.666666666668,22761.0,24404.666666666668,48232.666666666664,25326.666666666668,7159.333333333333,4712.666666666667,34283.666666666664,18232.333333333332,18876.666666666668,1255.3333333333333,13059.666666666666,140494.33333333334,27581.0,13025.333333333334,10491.0,123331.33333333333
Taguatinga,86840.33333333333,110966.33333333333,8212.0,6844.666666666667,28068.0,57819.333333333336,18216.333333333332,156024.66666666666,99976.66666666667,101984.66666666667,17049.666666666668,18801.666666666668,49711.666666666664,77788.66666666667,54606.666666666664,90105.33333333333,12958.0,102585.0,22413.333333333332,10948.0,36544.666666666664,32826.666666666664,28192.0,24606.0,74906.33333333333,36309.333333333336,13742.333333333334,83281.66666666667,63267.0,22011.333333333332,92027.66666666667,49372.333333333336,64363.0,19298.0,16003.666666666666,13934.333333333334,17515.0,17762.333333333332,28030.333333333332,39521.0,38867.666666666664,8299.0,8026.666666666667,39019.666666666664,30715.0,12658.0,13786.333333333334,6139.0,136699.0,29915.666666666668,23939.0,6777.333333333333,143729.0
Varjao,104108.0,104116.33333333333,24377.666666666668,21656.666666666668,45367.666666666664,71562.0,39528.666666666664,125184.5,88806.33333333333,78756.33333333333,19535.0,34308.333333333336,47828.0,88139.0,89234.66666666667,88727.0,12636.666666666666,99739.66666666667,38766.666666666664,18446.0,12825.0,23399.333333333332,5889.333333333333,24004.333333333332,89683.33333333333,46433.333333333336,21034.666666666668,75599.5,49477.0,23542.0,119170.0,44585.666666666664,67734.66666666667,12282.0,37444.333333333336,26333.333333333332,28502.666666666668,33942.333333333336,32477.333333333332,50964.333333333336,40142.0,16531.0,15972.666666666666,16269.666666666666,8192.333333333334,29230.666666666668,13395.0,24421.0,131612.66666666666,39120.333333333336,463.6666666666667,21290.666666666668,118740.0
Vicente Pires,89854.33333333333,109473.66666666667,7657.666666666667,4202.333333333333,24739.0,65815.0,22672.0,139517.33333333334,96319.33333333333,97410.66666666667,11761.0,16224.333333333334,33663.0,76524.66666666667,65549.33333333333,91338.66666666667,10072.0,103204.66666666667,25128.333333333332,8526.0,31704.333333333332,28666.666666666668,23532.666666666668,20000.666666666668,78978.33333333333,37736.333333333336,9261.333333333334,57220.333333333336,59723.666666666664,17832.333333333332,106385.33333333333,51231.0,77851.0,14894.333333333334,16202.0,12794.0,14154.666666666666,17692.666666666668,30799.333333333332,33295.0,43011.333333333336,6448.0,4249.333333333333,28102.0,26282.333333333332,11583.333333333334,9754.0,6537.333333333333,140785.0,29023.333333333332,20862.666666666668,4831.333333333333,135108.0
